event_id,primary_step_state,primary_point_state,nesting_attempt
32081963833,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963834,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963838,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963841,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963842,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963843,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963844,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963845,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963847,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963848,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32119809208,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32119809210,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32119809211,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32119809214,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32119809215,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32119809216,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32277208440,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32277208441,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32277208445,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32277208447,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32277208448,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32277208449,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32277208450,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32277208451,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32277208456,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32277208458,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32334264372,Step state: Summer,Point state: Summer,Not nesting
32334264373,Step state: Summer,Point state: Summer,Not nesting
32334264374,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32334264376,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32334264378,Step state: Summer,Point state: Summer,Not nesting
32334264379,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32334264381,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32334264382,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32334264384,Step state: Summer,Point state: Summer,Not nesting
32334264385,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32334264386,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32334264388,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32334264389,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32334264392,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32334264393,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32334264394,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32334264395,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32334264396,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322376,Step state: Summer,Point state: Summer,Not nesting
32475322377,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322381,Step state: Summer,Point state: Summer,Not nesting
32475322382,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322388,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322389,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322391,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322394,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322396,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322397,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322399,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322401,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322403,Step state: Summer,Point state: Summer,Not nesting
32475322405,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322406,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322408,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322409,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322411,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322412,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322414,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322415,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322418,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322420,Step state: Summer,Point state: Summer,Not nesting
32475322422,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
