"burst","loc_id","long","lat","first_date","last_date","attempt_start","attempt_end","tot_vis","days_vis","consec_days","perc_days_vis","perc_top_vis"
"GA-2020-04",107,-75.3728638,46.4797058,2020-05-11,2020-06-02,2020-05-11,2020-05-31,12,12,12,52.17,100
"GA-2020-04",25,-83.75,33.4192772,2020-02-19,2020-03-01,2020-02-19,2020-03-01,7,7,6,58.33,100
"GA-2020-04",79,-80.8565903,36.5663376,2020-04-18,2020-04-28,2020-04-18,2020-04-28,5,5,5,45.45,100
"GA-2020-05",73,-74.8346786,44.6864014,2020-04-08,2020-04-30,2020-04-10,2020-04-30,21,21,21,91.3,100
"GA-2020-05",6,-83.7444992,33.4349709,2020-02-01,2020-03-12,2020-02-26,2020-03-12,13,13,8,31.71,100
"GA-2020-05",122,-73.0926208,44.5649261,2020-06-12,2020-07-14,2020-06-24,2020-07-14,8,8,8,24.24,100
"GA-2020-06",29,-83.7438812,33.4253426,2020-02-17,2020-03-15,2020-02-24,2020-03-15,11,11,11,39.29,100
"MD-2020-13",8,-75.9209366,38.423233,2020-02-28,2020-03-21,2020-02-28,2020-03-19,14,14,14,60.87,100
"MD-2020-14",22,-73.7042847,41.4412918,2020-03-10,2020-03-22,2020-03-10,2020-03-22,11,11,11,84.62,100
"MD-2020-14",27,-73.7034912,41.4411392,2020-03-23,2020-04-04,2020-03-23,2020-04-04,9,9,9,69.23,100
"MD-2020-14",7,-75.9180145,38.4285049,2020-03-01,2020-03-08,2020-03-01,2020-03-08,5,5,5,62.5,100
"MD-2020-15",56,-69.3019028,48.0425873,2020-04-07,2020-05-12,2020-04-15,2020-05-05,22,22,22,61.11,100
"MD-2020-15",6,-75.9244919,38.4252014,2020-02-28,2020-03-15,2020-02-28,2020-03-15,15,15,15,88.24,100
"MD-2020-15",87,-69.3053055,48.039669,2020-05-29,2020-08-01,2020-05-29,2020-06-18,13,13,13,20,100
"MD-2020-15",34,-73.8699646,42.1225357,2020-03-27,2020-04-04,2020-03-27,2020-04-04,8,8,8,88.89,100
"MD-2020-15",92,-69.3054352,48.0394897,2020-05-27,2020-07-16,2020-06-20,2020-07-10,6,6,6,11.76,100
"MD-2020-16",23,-72.5240173,42.0172653,2020-03-18,2020-04-04,2020-03-18,2020-04-04,11,11,11,61.11,100
"MD-2020-16",9,-75.925827,38.420517,2020-02-27,2020-03-10,2020-03-01,2020-03-10,9,9,8,69.23,100
"MD-2020-16",60,-67.3752213,47.7193069,2020-04-25,2020-05-02,2020-04-25,2020-05-02,5,5,5,62.5,100
"NC-2020-08",38,-70.5880737,43.6231804,2020-03-21,2020-04-18,2020-03-27,2020-04-16,23,23,23,79.31,100
"NC-2020-08",88,-70.5839996,43.6245384,2020-04-21,2020-05-21,2020-04-24,2020-05-14,18,18,18,58.06,100
"NC-2020-15",48,-74.1267548,42.8363152,2020-04-06,2020-05-19,2020-04-29,2020-05-19,13,13,13,29.55,100
"NC-2020-15",113,-74.1462173,42.8583794,2020-06-28,2020-08-29,2020-06-28,2020-07-18,9,9,9,14.29,100
"NC-2020-15",30,-74.7690887,40.8639107,2020-03-12,2020-03-19,2020-03-12,2020-03-19,7,7,7,87.5,100
"NC-2020-15",14,-78.8145828,36.1302414,2020-03-03,2020-03-09,2020-03-03,2020-03-09,6,6,6,85.71,100
"NC-2020-15",93,-74.0750732,42.8194962,2020-05-27,2020-06-12,2020-05-27,2020-06-12,6,6,6,35.29,100
"NC-2020-15",123,-74.1439133,42.8559761,2020-07-26,2020-08-25,2020-07-26,2020-08-15,5,5,5,16.13,100
"NC-2020-16",77,-68.5561218,45.425499,2020-05-01,2020-05-29,2020-05-01,2020-05-21,20,20,20,68.97,100
"NC-2020-16",22,-78.8349304,36.1212807,2020-02-22,2020-03-17,2020-02-25,2020-03-16,15,15,15,60,100
"NC-2020-16",59,-68.5739365,45.3235321,2020-04-13,2020-04-24,2020-04-13,2020-04-24,9,9,9,75,100
"NC-2020-16",93,-68.571434,45.4139023,2020-06-04,2020-06-26,2020-06-04,2020-06-24,9,9,9,39.13,100
"NC-2020-16",113,-68.5822601,45.4257278,2020-07-06,2020-08-25,2020-07-06,2020-07-26,5,5,5,9.8,100
"NC-2020-17",63,-70.6452332,46.1862259,2020-04-24,2020-05-25,2020-04-24,2020-05-14,11,11,11,34.38,100
"NC-2020-17",42,-79.7884293,39.4788208,2020-03-29,2020-04-04,2020-03-29,2020-04-04,6,6,6,85.71,100
"NC-2020-18",13,-78.8198242,36.1354866,2020-02-23,2020-03-14,2020-02-23,2020-03-14,12,12,12,57.14,100
"NC-2020-18",70,-65.3089905,46.5481071,2020-04-28,2020-05-05,2020-04-28,2020-05-05,8,8,8,100,100
"NC-2020-18",26,-78.8183899,36.130188,2020-02-20,2020-03-20,2020-03-15,2020-03-20,7,6,5,20,100
"NC-2020-18",62,-65.3098602,46.5483398,2020-04-20,2020-04-25,2020-04-20,2020-04-25,6,6,6,100,100
"NC-2020-19",14,-78.8133774,36.1151886,2020-02-23,2020-03-18,2020-02-23,2020-03-14,11,11,11,44,100
"NC-2020-19",69,-69.9857788,46.0503426,2020-04-27,2020-05-12,2020-04-27,2020-05-12,9,9,9,56.25,100
"NC-2020-19",84,-69.9854736,46.0508537,2020-05-13,2020-05-27,2020-05-13,2020-05-27,9,9,9,60,100
"NJ-2019-23",4,-75.8685837,37.4241676,2020-01-09,2020-02-21,2020-01-09,2020-01-29,5,5,5,11.36,100
"NJ-2019-24",35,-74.9549942,38.9387398,2020-01-06,2020-03-09,2020-02-18,2020-03-09,23,23,23,35.94,100
